S.No,County,Median Household Income,Poverty Estimate,Poverty Estimate(%),Effective County Tax Rate,2020-21 Per Capita Income,Total  County Revenue,Relative Effort as percent of revenue per student,Total Local Appropriations,Total Local Appropriations  per ADM,Teacher Attrition Rates,Teacher Vacancy Rates,Total no of crime acts committed,Total no of crime acts committed per 1000 students,Female dropouts,Male dropouts,Asian dropouts,Black dropouts,Hispanic dropouts,American Indian dropouts,White dropouts,Total Students Enrolled,Total dropout count
82,Sampson County,45387,13195,21.2,0.79,40646,44074568.31,0.49,21044621,2033,0.19,0.04,2,0.27,38,76,.,26,57,.,26,7667,114
83,Scotland County,33531,9506,29.7,0.96,37527,22680143.46,0.61,13807411,2644,0.14,0.05,6,1.15,29,39,.,21,3,9,26,5380,68
84,Stanly County,53769,8859,14.5,0.62,43279,55518550.87,0.23,13353055,1649,0.14,0.06,13,1.61,23,54,2,10,4,2,53,8230,77
85,Stokes County,59068,5467,12.1,0.63,42290,34835180.74,0.46,14990599,2796,0.1,0.01,8,1.49,25,39,.,.,.,.,62,5489,64
86,Surry County,47114,10915,15.4,0.56,42733,68185309.67,0.29,17269815,1747,0,0.02,8,1.14,43,72,.,3,25,8,66,7133,115
87,Swain County,47559,1931,13.9,0.34,44824,15434427.7,0.07,2723439,1521,0,0.07,3,1.68,10,9,.,.,.,6,11,1858,19
88,Transylvania County,56880,4250,12.6,0.59,48341,52087926.67,0.26,12752827,4000,0,0,5,1.57,5,8,.,1,3,.,9,3190,13
89,Tyrrell County,42260,701,20.8,0.91,43515,3207994.89,0.23,2795037,5294,0,0.1,0,0,.,3,.,1,.,.,2,549,3
90,Union County,90920,16946,7,0.65,59055,255659715.9,0.34,98566814,2482,0,0.02,99,2.49,46,103,.,32,62,.,51,39934,149
91,Vance County,41935,9382,21.3,0.75,39845,33782854.82,0.25,9711091,1973,0,0.13,3,0.61,8,12,1,13,3,3,1,5071,20
92,Wake County,88763,82129,7.4,0.58,66147,1785744315,0.23,526003342,3355,0,0.03,119,0.76,251,510,12,230,331,2,149,158546,758
93,Warren County,42808,4242,22.8,0.78,35682,18532411.83,0.39,6706804,3969,0,0.04,1,0.59,10,13,.,16,2,.,3,1735,23
94,Washington County,38704,2752,24.3,0.86,41632,7542726.56,0.29,3903156,3771,0,0.07,2,1.93,4,1,.,3,1,.,.,1103,5
95,Watauga County,54004,8022,15.8,0.34,43559,96949017.93,0.17,13864099,3128,0,0.01,10,2.26,4,9,1,.,2,.,10,4472,13
96,Wayne County,52906,18039,14.9,0.64,45415,91716441.74,0.26,29151446,1726,0,0.02,12,0.71,76,165,2,76,79,.,70,17352,241
97,Wilkes County,46830,9671,14.4,0.63,41739,56811072.84,0.27,15186014,1818,0,0.02,17,0.24,34,45,.,3,8,.,59,8509,79
98,Wilson County,44089,16994,21.2,0.65,44562,74966497.97,0.35,26277159,2606,0,0.08,3,0.3,53,87,1,80,35,.,17,10404,140
99,Yadkin County,53154,4509,12.1,0.61,41874,27007477.09,0.33,8789687,1795,0,0.01,24,4.9,,,,,,,,4963,
100,Yancey County,48662,2677,14.9,0.56,39832,19604661.39,0.22,4935751,2609,0,0.02,2,1.06,4,11,.,.,1,.,13,1905,15
